,Pearson's Correlation Coefficient
ENSG00000261144,0.051
SNORD125,0.051
EIF3G,0.051
TUBAP6,0.051
ENSG00000216352,0.051
RPL23AP76,0.051
CAMKK1,0.051
ENSG00000271751,0.051
ENSG00000267032,0.051
ATP5IF1,0.051
UQCRB,0.051
MAGEA8-AS1,0.051
DMD,0.051
NUS1P4,0.051
DYNC1I2,0.051
ENSG00000251189,0.051
H2AZP5,0.051
CRY1,0.051
LINC02866,0.051
SNHG12,0.051
ENSG00000235852,0.051
RN7SKP72,0.051
FAM199X,0.051
RPL31,0.051
ARL6IP1,0.051
ENSG00000281087,0.051
CACNA1B,0.051
RBM14-RBM4,0.051
PAK6-AS1,0.051
ENSG00000203364,0.051
RAB5IF,0.051
EVI5,0.051
RBIS,0.051
ANXA4,0.051
ZNF346,0.051
ENSG00000223398,0.051
C12ORF50,0.051
ENSG00000259216,0.051
ENSG00000273107,0.051
ENSG00000285330,0.051
HNRNPA3P6,0.051
RPS7P4,0.051
JTB,0.051
MIR143,0.051
ENSG00000230289,0.051
RNU6-31P,0.051
GON7,0.051
ENSG00000258842,0.051
RNU6-35P,0.051
SNORA80B,0.051
HNRNPLP2,0.051
FLYWCH1,0.051
B4GALT4,0.051
EVI5L,0.051
SEC22B,0.051
H3C1,0.051
NCOR1P3,0.051
ARL2-SNX15,0.051
SPACA7BP,0.051
ENSG00000256093,0.051
UQCRFS1P2,0.051
THRB-IT1,0.051
ENSG00000237377,0.051
ENSG00000241026,0.051
MIR6828,0.051
IGSF10,0.051
OR7E55P,0.051
TERB1,0.051
XRCC6P3,0.051
ENSG00000259737,0.051
ENSG00000270890,0.051
ENSG00000275160,0.051
ENSG00000278406,0.051
SNORA24,0.051
CCNY-AS1,0.051
FSIP2LP,0.051
ACTR1AP1,0.051
GPR63,0.051
ENSG00000285762,0.051
RPL29P25,0.051
ANKRD20A10P,0.051
GCSHP2,0.051
EIF4BP7,0.051
MTCYBP43,0.051
ENSG00000280319,0.051
TBCAP3,0.051
ADAMTS2,0.051
SNX30-DT,0.051
ERCC6,0.051
ENSG00000269933,0.051
ACTR3BP6,0.051
POLRMT,0.051
ENSG00000270255,0.051
SLC35C1,0.051
SLC22A14,0.051
SERF1AP1,0.051
ZKSCAN8P1,0.051
EIF4BP2,0.051
LINC00492,0.051
TPM4P1,0.051
UBE2O,0.051
A4GNT,0.051
UOX,0.051
ZBTB5,0.051
SOBP,0.051
ITFG2-AS1,0.051
SPATA3-AS1,0.051
ANKRD60,0.051
ECD,0.051
RBBP4P3,0.051
ENSG00000227625,0.051
ENSG00000264451,0.051
RN7SL664P,0.051
GET4,0.051
ENSG00000253096,0.051
GIT1,0.051
RNA5SP330,0.051
RNU6-617P,0.051
ENSG00000232072,0.051
ENSG00000267269,0.051
ENSG00000284639,0.051
SLC6A18,0.051
NSMCE1-DT,0.051
B3GALT1,0.051
PPP1R26P2,0.051
ENSG00000251487,0.051
ASB4,0.051
RNU6-1140P,0.051
ENSG00000273100,0.051
ENSG00000279792,0.051
ENSG00000257807,0.051
NEURL2,0.051
MIR1247,0.051
SRP54,0.05
CIAO1,0.05
ENSG00000272092,0.05
ENSG00000260741,0.05
RNU6-201P,0.05
ENSG00000231271,0.05
ENSG00000234089,0.05
ENSG00000267545,0.05
ENSG00000248774,0.05
SNHG9,0.05
ENSG00000282997,0.05
RTTN,0.05
ENSG00000278733,0.05
ENSG00000267215,0.05
ENSG00000282864,0.05
ENSG00000273552,0.05
OLAH,0.05
ENSG00000255086,0.05
RNU6-377P,0.05
ENSG00000257813,0.05
TTYH3,0.05
ENSG00000233090,0.05
GTF2IP8,0.05
ENSG00000264914,0.05
GPR173,0.05
MIR6724-4,0.05
GREP1,0.05
VKORC1P1,0.05
KPNA1,0.05
ENSG00000220745,0.05
RPL32P12,0.05
SLC25A5P4,0.05
ENSG00000255093,0.05
ENSG00000279031,0.05
ENSG00000280432,0.05
ZFAND3-DT,0.05
ENSG00000258965,0.05
PEA15,0.05
NUP98,0.05
LINC02681,0.05
ENSG00000274943,0.05
RPL18,0.05
ENSG00000285922,0.05
ANKRD54P1,0.05
PPIAP23,0.05
OVCH2,0.05
ENSG00000256100,0.05
ENSG00000234210,0.05
ENSG00000259791,0.05
NOX4,0.05
TMEM126A,0.05
RPL12P13,0.05
ENSG00000183239,0.05
RNU2-27P,0.05
PAPOLB,0.05
ENSG00000266830,0.05
RSPH1,0.05
SLC23A3,0.05
VENTXP8,0.05
PRDM15,0.05
MIR4436B1,0.05
CDK5RAP1,0.05
ENSG00000261227,0.05
ENSG00000237761,0.05
ENSG00000224155,0.05
CACTIN-AS1,0.05
RPL22P11,0.05
RPL35P6,0.05
RNU6-1048P,0.05
ENSG00000232227,0.05
ENSG00000254734,0.05
GPATCH11P1,0.05
ADH5P4,0.05
CACTIN,0.05
SOCS5P4,0.05
RPL23AP67,0.05
FXYD6P2,0.05
ENSG00000204684,0.05
LINC02646,0.05
NDUFC1,0.05
TEKT3,0.05
ENSG00000267375,0.05
YEATS2,0.05
TIMM23B,0.05
ELOCP20,0.05
ENSG00000251080,0.05
AZGP1P1,0.05
HMGN2P4,0.05
RNU6-6P,0.05
ENSG00000265217,0.05
ENSG00000280345,0.05
LINC02562,0.05
BDP1P,0.05
ITGA5,0.05
ENSG00000229986,0.05
GTPBP10,0.05
CBFB,0.05
ENSG00000213970,0.05
ENSG00000253468,0.05
ACD,0.05
VPS4A,0.05
ENSG00000259916,0.05
SLC22A13,0.05
OR56A3,0.05
ENSG00000272159,0.05
HMGB1P45,0.05
LINC01720,0.05
SMIM11,0.05
LCE3C,0.05
ENSG00000223842,0.05
TMEM208,0.05
MIR3663,0.05
PIWIL2-DT,0.05
KRTAP9-2,0.05
ENSG00000235610,0.05
PRRT2,0.05
ENSG00000241929,0.05
ENSG00000279442,0.05
ENSG00000236099,0.05
H4C3,0.05
GGCTP3,0.05
EEF1DP5,0.05
LARP1BP1,0.05
SPTLC1P1,0.05
PPIAP55,0.05
ENSG00000255284,0.05
ENSG00000227728,0.05
ENSG00000285128,0.05
EXOC4,0.05
MIR4686,0.05
SNAP23P1,0.05
ENSG00000202224,0.05
LINC01798,0.05
ENSG00000230990,0.05
ENSG00000249441,0.05
SPZ1,0.05
MIRLET7A3,0.05
ENSG00000264125,0.05
BTF3P5,0.05
SUPT6H,0.05
ENSG00000259712,0.05
AP3M1,0.05
GMFB,0.05
COX7A2,0.05
DUX4L35,0.05
ENSG00000243164,0.05
B4GALT1-AS1,0.05
RPSAP10,0.05
LINC00635,0.05
ALKBH4,0.05
ENSG00000281133,0.05
TRIM51GP,0.05
CEBPA-DT,0.05
TSPY9P,0.05
ENSG00000271078,0.049
CUL1P1,0.049
ENSG00000242578,0.049
ENSG00000269487,0.049
SYMPK,0.049
PAGE4,0.049
MIR6500,0.049
USP27X-DT,0.049
ENSG00000236654,0.049
PRELID1P5,0.049
ENSG00000233962,0.049
ENSG00000259041,0.049
TEX43,0.049
ENSG00000260920,0.049
NFE2L3P1,0.049
ENSG00000228981,0.049
EMC7,0.049
RPL36AP36,0.049
ZNF594,0.049
SLC41A3,0.049
IQCA1L,0.049
FERP1,0.049
ENSG00000267770,0.049
ATP6AP1L,0.049
ENSG00000278022,0.049
ENSG00000270022,0.049
MED14OS,0.049
IQGAP1,0.049
ALOX12B,0.049
CEP290,0.049
SLC35A4,0.049
GAPDHP22,0.049
RPL26P3,0.049
RPL12P20,0.049
LINC02889,0.049
ERICH5,0.049
LINC01748,0.049
TMSB10,0.049
SLC16A12,0.049
RNU6ATAC8P,0.049
RNU1-18P,0.049
FOXA2,0.049
ENSG00000199245,0.049
ENSG00000257855,0.049
ENSG00000264151,0.049
FAHD2A,0.049
ARF1P3,0.049
VN1R81P,0.049
TUBB4AP1,0.049
LINC01929,0.049
ENSG00000250602,0.049
RPL35AP16,0.049
ZNF587P1,0.049
ENSG00000285576,0.049
MIR4700,0.049
ENSG00000254629,0.049
RNA5SP19,0.049
SUSD2P2,0.049
TBX6,0.049
ENSG00000275833,0.049
ENSG00000275716,0.049
KRT17P6,0.049
ENSG00000234352,0.049
MAPK6P5,0.049
ENSG00000251342,0.049
ENSG00000203327,0.049
HSDL1,0.049
ENSG00000229312,0.049
ELOVL7,0.049
OR8B2,0.049
GTF3C6,0.049
PKD1P6,0.049
LMNTD1,0.049
DERL1,0.049
LINC01697,0.049
CCDC15,0.049
ENSG00000255572,0.049
LINC01925,0.049
CDC73,0.049
LINC00330,0.049
ENSG00000277544,0.049
ENSG00000253198,0.049
ENSG00000256627,0.049
ENSG00000262141,0.049
EID2B,0.049
MAP3K10,0.049
MFSD5,0.049
RPS26P41,0.049
C9,0.049
CYB5R1,0.049
RPL7L1P2,0.049
ENSG00000267610,0.049
ENSG00000256708,0.049
RNU7-71P,0.049
NT5DC1P2,0.049
ENSG00000259002,0.049
NEXN,0.049
PDCL3P5,0.049
ENSG00000279993,0.049
ENSG00000240634,0.049
ENSG00000260983,0.049
ENSG00000214754,0.049
ENSG00000231073,0.049
BLVRB,0.049
MRS2,0.049
ENSG00000267661,0.049
ENSG00000272218,0.049
STOML1,0.049
SNORA62,0.049
CRCP,0.049
SNRPGP13,0.049
MIR6849,0.049
PCBP2,0.049
FEV,0.049
ENSG00000251613,0.049
GAPDHP29,0.049
SLC25A3P2,0.049
ENSG00000280367,0.049
PRPF40A,0.049
LINC01869,0.049
MIR4710,0.049
ENSG00000243199,0.049
COX4I1P2,0.049
RGPD6,0.049
ENSG00000266677,0.049
LINC00665,0.049
SNX18P1Y,0.049
ASPSCR1,0.049
ENSG00000251339,0.049
ENSG00000254836,0.049
ENSG00000253181,0.049
ENSG00000261748,0.049
H3-2,0.049
NUS1P3,0.049
RAB42P1,0.049
FAM91A3P,0.049
LRTOMT,0.049
TUBAP4,0.049
ENSG00000241537,0.049
ENSG00000226810,0.049
TPR,0.049
PDIA3P2,0.049
MIRLET7C,0.049
C8ORF86,0.049
ENSG00000262533,0.049
ENSG00000257964,0.049
HNRNPFP1,0.049
ENSG00000280968,0.049
ENSG00000229662,0.049
LINC02334,0.049
PHACTR4,0.049
ENSG00000259761,0.049
SNORA57,0.049
ARL14EP-DT,0.049
SETD5,0.049
CCER1,0.049
ENSG00000250860,0.049
ENSG00000253357,0.049
OR2J2,0.049
KRT8P28,0.048
ENSG00000284376,0.048
DYNLRB1,0.048
MIR1539,0.048
MUCL3,0.048
LINC01541,0.048
ENSG00000273472,0.048
ENSG00000248261,0.048
ENSG00000263765,0.048
HMGN2P22,0.048
ENSG00000226401,0.048
ENSG00000279625,0.048
ENSG00000250954,0.048
LINC01511,0.048
C1ORF167-AS1,0.048
CATSPER3,0.048
CFAP20,0.048
ENSG00000261835,0.048
SLC25A11,0.048
GNG11,0.048
ENSG00000222000,0.048
LINC01730,0.048
LINC00437,0.048
SPTAN1,0.048
LINC01159,0.048
RPL35P5,0.048
PREP,0.048
TNRC6B-DT,0.048
PTX4,0.048
RPL35AP28,0.048
ENSG00000276786,0.048
H2AC21,0.048
LINC02220,0.048
ENSG00000227741,0.048
ENSG00000270061,0.048
MIR3649,0.048
CYCSP25,0.048
ENSG00000260146,0.048
HIGD2AP1,0.048
RPL37P18,0.048
KDSR,0.048
RBM22P13,0.048
GPC6-AS2,0.048
CASC20,0.048
CRTC3-AS1,0.048
H1-5,0.048
RWDD4P2,0.048
CSMD2,0.048
ENSG00000285638,0.048
ENSG00000250027,0.048
MICB,0.048
ENSG00000280206,0.048
LINC01894,0.048
P3R3URF,0.048
ENSG00000275929,0.048
OLFML2B,0.048
ENSG00000230659,0.048
REV3L,0.048
TUBA3GP,0.048
PLEKHA1,0.048
IFIT1P1,0.048
ENSG00000275910,0.048
LINC02722,0.048
MIR5087,0.048
ENSG00000231714,0.048
EIF4A2P5,0.048
SNX31,0.048
ENSG00000269421,0.048
LINC01749,0.048
RPL37P1,0.048
ENSG00000229886,0.048
ZNF232,0.048
SOAT1,0.048
ILVBL-AS1,0.048
ENSG00000285899,0.048
LINC01224,0.048
ENSG00000230387,0.048
ENSG00000249617,0.048
MIR1910,0.048
ENSG00000277245,0.048
ENSG00000253153,0.048
ZNF680,0.048
RPSAP2,0.048
SINHCAFP1,0.048
RPS27P27,0.048
ENSG00000257668,0.048
ZNF37A,0.048
ENSG00000229190,0.048
CNTLN,0.048
PCNPP3,0.048
C1QBPP1,0.048
ENSG00000199332,0.048
ENSG00000270808,0.048
SETP21,0.048
OR11J5P,0.048
ATP6V0D2,0.048
MYBPHL,0.048
HMGN2P19,0.048
NSA2P7,0.048
CSF3,0.048
KRTAP17-1,0.048
ENSG00000235972,0.048
ENSG00000257065,0.048
HMGN2P21,0.048
CNOT10-AS1,0.048
EML2-AS1,0.048
LINC01396,0.048
ENSG00000240093,0.048
FKRP,0.048
VSTM5,0.048
ENSG00000264562,0.048
NANOGP6,0.048
STX17-DT,0.048
QARS1,0.048
LINC02054,0.048
ENSG00000231080,0.048
CCDC50,0.048
MLF1-DT,0.048
RBM14,0.048
ENSG00000242753,0.048
ENSG00000235110,0.048
ALS2CL,0.048
ENSG00000235563,0.048
FAM90A27P,0.048
ENSG00000234792,0.048
LRRC2-AS1,0.048
LINC01559,0.048
SPAG9,0.048
ENSG00000258272,0.048
ENSG00000253784,0.048
CYB5AP3,0.048
H1-10,0.048
ENSG00000237480,0.048
ENSG00000248185,0.048
RNA5SP84,0.048
ENSG00000254694,0.048
CMAS,0.048
ENSG00000270380,0.048
SNORD45B,0.048
SART3,0.048
FAM177A1,0.048
ENSG00000283625,0.048
DHRS7C,0.048
RPL22P20,0.048
PLD5,0.048
ENSG00000279607,0.048
GPRC5D,0.048
DYNLL1P2,0.048
HPRT1P3,0.048
ENSG00000269177,0.048
CPN2,0.048
YAP1P2,0.048
ENSG00000227006,0.048
RAB32,0.048
OR7E130P,0.048
CCDC38,0.048
PPIAP87,0.048
RALY-AS1,0.047
ADAM18,0.047
ENSG00000285562,0.047
ENSG00000275871,0.047
RPL23AP96,0.047
RSL24D1P11,0.047
ENSG00000240915,0.047
ENSG00000262358,0.047
RNA5SP278,0.047
ENSG00000275875,0.047
HMGB3P5,0.047
ENSG00000278400,0.047
RNA5SP175,0.047
PPP1R9A-AS1,0.047
IFNL2,0.047
TSPY1,0.047
PLD1,0.047
BTF3L4,0.047
RNA5SP473,0.047
ENSG00000225448,0.047
EXTL2P1,0.047
ENSG00000285257,0.047
TM9SF4,0.047
ENSG00000269794,0.047
ENSG00000202251,0.047
HMGN2P41,0.047
UBE2NP1,0.047
SCCPDH,0.047
ENSG00000253515,0.047
ENSG00000270103,0.047
PMS2P12,0.047
KLK12,0.047
GNRH2,0.047
RPS4XP8,0.047
THRSP,0.047
ENSG00000237167,0.047
MIR4515,0.047
BMS1P12,0.047
ENSG00000212569,0.047
CHORDC1P4,0.047
ZNF705E,0.047
MAPK6P1,0.047
ENSG00000260541,0.047
CEBPB,0.047
ENSG00000251490,0.047
ATF6-DT,0.047
HNRNPK,0.047
KRBOX1-AS1,0.047
HNRNPA3P5,0.047
ENSG00000183729,0.047
ENSG00000235085,0.047
ENSG00000260900,0.047
ENSG00000229369,0.047
ENSG00000261541,0.047
GJD2-DT,0.047
STON1,0.047
ENSG00000265639,0.047
SC4MOP,0.047
ZNF45-AS1,0.047
MDM2,0.047
ATP5PBP3,0.047
SNORA80E,0.047
ENSG00000259117,0.047
ENSG00000252582,0.047
PXN,0.047
ESS2,0.047
REPIN1-AS1,0.047
ENSG00000200121,0.047
PPIAP44,0.047
ENSG00000234398,0.047
LSM3P5,0.047
RNU5D-1,0.047
SHLD2,0.047
LINC02112,0.047
BBOX1,0.047
ENSG00000276057,0.047
ENSG00000235993,0.047
ENSG00000230226,0.047
ENSG00000275620,0.047
ENSG00000276407,0.047
MIR6788,0.047
AADACL2-AS1,0.047
AQP5,0.047
ENSG00000253530,0.047
SMSP1,0.047
ENSG00000260405,0.047
ENSG00000272515,0.047
ENSG00000236814,0.047
DCXR-DT,0.047
RPSAP58,0.047
ENSG00000269890,0.047
ABCA8,0.047
SNORA2B,0.047
ENSG00000248428,0.047
ENSG00000278924,0.047
OR51E2,0.047
ENSG00000275965,0.047
ATP5PDP2,0.047
TUBAP14,0.047
TUBAP1,0.047
MIR4691,0.047
CNGB1,0.047
TMEM68,0.047
HSD17B1-AS1,0.047
RWDD4P1,0.047
ENSG00000251055,0.047
LINC01786,0.047
SPECC1L,0.047
LECT2,0.047
ENSG00000279794,0.047
COLEC10,0.047
MRPL20P1,0.047
RPL18A,0.047
SNORD11B,0.047
WDR88,0.047
ENSG00000279900,0.047
ENSG00000214243,0.047
ENSG00000251599,0.047
ENSG00000258345,0.047
ENSG00000227704,0.047
MTATP6P15,0.047
ZBTB21,0.047
ATXN2,0.047
BRS3,0.047
ENSG00000283156,0.047
PPP1R3A,0.047
SP7,0.047
MYOZ2,0.047
GSTA3,0.047
DDX39B,0.047
ENSG00000267303,0.047
SERPINE4P,0.047
CHST8,0.047
RPS15AP28,0.047
ENSG00000280239,0.047
SRP72P2,0.047
MSMP,0.047
LINC01498,0.047
IL17RB,0.047
LINC02625,0.047
ENSG00000264063,0.047
RNU11,0.047
ENSG00000253961,0.047
CATSPER2P1,0.047
RANBP3-DT,0.047
RPLP1P6,0.047
ATP11B-DT,0.047
ENSG00000257384,0.046
ENSG00000276100,0.046
FNDC10,0.046
ENSG00000261428,0.046
ENSG00000256810,0.046
ENSG00000255639,0.046
IL36B,0.046
ENSG00000259354,0.046
ENSG00000277437,0.046
ENSG00000224330,0.046
ENSG00000273767,0.046
MFAP1,0.046
ZCCHC17,0.046
ENSG00000261298,0.046
FAM242F,0.046
ENSG00000272950,0.046
RNA5SP512,0.046
ENSG00000215905,0.046
PLEKHG6,0.046
FSTL5,0.046
RPL22P5,0.046
ENSG00000276791,0.046
ENSG00000252744,0.046
THBS3,0.046
XBP1,0.046
ENSG00000279613,0.046
CCDC92B,0.046
RGS7,0.046
HMGN2P11,0.046
GNB2,0.046
POF1B,0.046
SLC4A7,0.046
ENSG00000258304,0.046
SALL4P1,0.046
KATNAL2,0.046
CUPIN1P,0.046
DUSP5P2,0.046
TP53TG3D,0.046
ENSG00000261095,0.046
ENSG00000269148,0.046
PPIAP76,0.046
ENSG00000253116,0.046
ENSG00000274441,0.046
RPL7P43,0.046
ENSG00000240995,0.046
COL28A1,0.046
PPIAP67,0.046
PEX10,0.046
NDRG1,0.046
KCNK9,0.046
DRD5P2,0.046
OR4N4C,0.046
ENSG00000275075,0.046
ENSG00000257378,0.046
AKR1B1P1,0.046
LINC02308,0.046
ENSG00000279609,0.046
POTEB2,0.046
ERHP2,0.046
ENSG00000270619,0.046
ENSG00000254837,0.046
ENSG00000243433,0.046
ENSG00000259946,0.046
MTND4P4,0.046
POLR2A,0.046
IL6,0.046
ENSG00000267579,0.046
ENSG00000273381,0.046
SKOR1,0.046
PPY2P,0.046
ENSG00000266588,0.046
ENSG00000236580,0.046
MEG9,0.046
ENSG00000235991,0.046
ENSG00000283445,0.046
PLPPR5,0.046
ENSG00000283258,0.046
ENSG00000248597,0.046
SGCEP1,0.046
ACTBP12,0.046
HECTD1,0.046
ENSG00000268390,0.046
ENSG00000271162,0.046
LINC02333,0.046
RPS3AP54,0.046
LINC01897,0.046
RPL12P8,0.046
OSTCP3,0.046
ENSG00000232465,0.046
MKKS,0.046
ENSG00000273913,0.046
MTATP6P8,0.046
RAP2CP1,0.046
ENSG00000249364,0.046
BLMH,0.046
ENSG00000206898,0.046
LINC02484,0.046
ENSG00000235583,0.046
ENSG00000267733,0.046
TARS2P1,0.046
FOCAD,0.046
ENSG00000276508,0.046
ENSG00000188525,0.046
RNU6-22P,0.046
CPHL1P,0.046
ENSG00000225170,0.046
ENSG00000275016,0.046
SMIM15P2,0.046
SMARCA5-AS1,0.046
ENSG00000285818,0.046
ARHGEF38,0.046
GNAT1,0.046
TMEM202,0.046
ENSG00000273483,0.046
CTBP2P3,0.046
ENSG00000237783,0.046
ENSG00000228061,0.046
NTAN1P3,0.046
NPM1P4,0.046
GDPD2,0.046
CCDC71,0.046
ENSG00000253725,0.046
ENSG00000231756,0.046
ENSG00000258903,0.046
RAB10,0.046
RNA5SP532,0.046
SFTPA2,0.046
LINC01916,0.046
SUMO2P20,0.046
FRG1DP,0.046
ENSG00000279512,0.046
ENSG00000241269,0.046
PRR20D,0.046
ELP2,0.046
TMEM179,0.046
ENSG00000273068,0.046
ENSG00000261329,0.046
FTH1P27,0.046
ENSG00000254469,0.046
COX7C,0.046
ENSG00000285525,0.046
MROH4P,0.046
MESTP2,0.046
PPIAP16,0.046
TACC1P1,0.046
ENSG00000278144,0.046
NR4A1AS,0.046
ENSG00000268906,0.046
DUXAP4,0.046
LPP,0.046
ENSG00000273044,0.046
KDM4A-AS1,0.045
PPP1R3G,0.045
LY6G6D,0.045
ENSG00000228513,0.045
ENSG00000254141,0.045
HSD17B1,0.045
ENSG00000227236,0.045
ASB15-AS1,0.045
DIS3L2P1,0.045
ENSG00000261200,0.045
CDKL2,0.045
ENSG00000285714,0.045
ENSG00000228560,0.045
TP53TG5,0.045
ESRRB,0.045
OSTCP1,0.045
SEC63,0.045
ARPP19P1,0.045
LINC00334,0.045
ENSG00000230607,0.045
ENSG00000274579,0.045
TARDBP,0.045
CNN3P1,0.045
KCTD21-AS1,0.045
DIDO1,0.045
ENSG00000254283,0.045
MIR1538,0.045
SCYGR8,0.045
S100A11P2,0.045
SMARCD3,0.045
ENSG00000229118,0.045
ENSG00000280419,0.045
FABP9,0.045
RPL14,0.045
RNU6-945P,0.045
ENSG00000264148,0.045
VMP1,0.045
UROD,0.045
FUT3,0.045
ENSG00000279285,0.045
RUNX1T1,0.045
C12ORF57,0.045
OR1AA1P,0.045
LIMK1,0.045
DDX41,0.045
ENSG00000260035,0.045
ENSG00000261257,0.045
ENSG00000253373,0.045
MRPS21P3,0.045
ENSG00000275805,0.045
RPL7AP7,0.045
MYO9A,0.045
ENSG00000277913,0.045
RNU6-271P,0.045
CIRBP-AS1,0.045
ZBTB8OSP2,0.045
ENSG00000279359,0.045
EIF4A1P13,0.045
HMGN2P40,0.045
IMPDH1P3,0.045
COLEC11,0.045
LINC02002,0.045
ENSG00000229738,0.045
ENSG00000237371,0.045
MFSD10,0.045
YWHAEP3,0.045
LINC02071,0.045
SUMO1P4,0.045
RPL35AP21,0.045
C3ORF49,0.045
SNORA38B,0.045
ENSG00000254811,0.045
ENSG00000271696,0.045
H4C11,0.045
AGGF1P7,0.045
DMAC2,0.045
ENSG00000252774,0.045
UTP6,0.045
FAM133FP,0.045
LINC01805,0.045
CLTRN,0.045
LEUTX,0.045
ART2P,0.045
OR2V1,0.045
HNRNPKP3,0.045
OR7C1,0.045
STAU2P1,0.045
RNU5E-1,0.045
EGFLAM-AS2,0.045
ST13P13,0.045
RNU6-208P,0.045
FGF12-AS2,0.045
PDSS2,0.045
MAGIX,0.045
LINC01118,0.045
ENSG00000232986,0.045
CBX1P5,0.045
JCADP1,0.045
MIR5093,0.045
ENSG00000256108,0.045
ENSG00000260375,0.045
ENSG00000257283,0.045
LINC01063,0.045
LINC02398,0.045
ENSG00000240033,0.045
MBL1P,0.045
RN7SL811P,0.045
LRRC47,0.045
ENSG00000282418,0.045
LYPLA1P3,0.045
H1-12P,0.045
MANSC1,0.045
RPL7AP50,0.045
DPH6,0.045
RGS22,0.045
ENSG00000270638,0.045
CDK2AP2P1,0.045
ENSG00000277535,0.045
C8ORF58,0.045
RPS4XP18,0.045
ANKMY2,0.045
KDM3AP1,0.045
TARDBPP1,0.045
CLIP3,0.045
CNOT1,0.045
RPS6KA6,0.045
SUB1P3,0.045
VANGL2,0.045
ENSG00000281566,0.045
NME5,0.045
POM121L3P,0.045
PFN1P10,0.045
COPS5P1,0.045
RMDN1,0.045
ZNF622,0.045
ENSG00000253524,0.045
TMEM104,0.045
MIR1234,0.045
XRCC4,0.045
NPM1P36,0.045
OR2H4P,0.045
RPS2P1,0.045
ENSG00000226405,0.045
GTF2IP11,0.045
ENSG00000252367,0.045
ENSG00000285582,0.045
SNORA26,0.045
KATNA1,0.045
ACTE1P,0.045
TBX22,0.045
ENSG00000258256,0.045
SSU72P1,0.045
GOLPH3-DT,0.045
ENSG00000276728,0.045
HMGB1P37,0.045
ARPP19P2,0.045
CCP110,0.045
UBTFL5,0.045
ENSG00000269025,0.045
ENSG00000270857,0.045
MIR3689F,0.045
LINC01182,0.045
ENSG00000213315,0.044
ENSG00000275108,0.044
ENSG00000250703,0.044
MIPEPP1,0.044
IL6ST-DT,0.044
ENSG00000226708,0.044
CNP,0.044
RN7SL162P,0.044
SCARNA18B,0.044
ENSG00000275515,0.044
ENSG00000262343,0.044
ENSG00000233517,0.044
LINC00661,0.044
MTND5P6,0.044
RBBP5,0.044
RPL14P6,0.044
ENSG00000261393,0.044
SLC4A9,0.044
ENSG00000212989,0.044
SCNM1,0.044
KANK1P1,0.044
ENSG00000274031,0.044
PPIAP1,0.044
ENSG00000267197,0.044
DOCK7-DT,0.044
ENSG00000279987,0.044
ENSG00000280173,0.044
WDR83OS,0.044
ENSG00000253377,0.044
RPL17P17,0.044
ENSG00000266928,0.044
ENSG00000284309,0.044
ENSG00000250064,0.044
RPL7AP73,0.044
SLC45A2,0.044
ENSG00000278272,0.044
SMPDL3A,0.044
SGSH,0.044
RPS4XP5,0.044
RPSAP43,0.044
RPL35AP27,0.044
ENSG00000250997,0.044
ENSG00000285835,0.044
ENSG00000254080,0.044
HNRNPA1P46,0.044
ENSG00000251125,0.044
RPL7AP9,0.044
ENSG00000274478,0.044
RNPS1P1,0.044
RBMXP4,0.044
LINC02748,0.044
SLC25A3P3,0.044
ENSG00000270870,0.044
ENSG00000250910,0.044
COL4A4,0.044
C10ORF71,0.044
PDHA2,0.044
COG6,0.044
MAGEB4,0.044
RBM48P1,0.044
ZNF497,0.044
PPP1R14D,0.044
ENSG00000267740,0.044
OFD1P2Y,0.044
ENSG00000235572,0.044
CAND2,0.044
ENSG00000223720,0.044
ENSG00000253489,0.044
ENSG00000249017,0.044
ENSG00000236856,0.044
ENSG00000279662,0.044
NPY5R,0.044
ENSG00000250547,0.044
HSP90B2P,0.044
ENSG00000233406,0.044
ENSG00000260277,0.044
ARF4-AS1,0.044
ENSG00000230643,0.044
HMGN2P8,0.044
ENSG00000242199,0.044
ENSG00000218476,0.044
ENSG00000254536,0.044
ENSG00000223809,0.044
RALGPS2-AS1,0.044
ENSG00000230271,0.044
RPS15AP11,0.044
TRIM25,0.044
NSA2P3,0.044
RFNG,0.044
SNORA30B,0.044
COPS4,0.044
RNVU1-2A,0.044
ENSG00000254692,0.044
ENSG00000272077,0.044
BRD7P6,0.044
ENSG00000272913,0.044
ENSG00000236064,0.044
ENSG00000261813,0.044
ENSG00000282988,0.044
S1PR5,0.044
COX6B1P1,0.044
ACSF2,0.044
GNAI2P2,0.044
RBM26-AS1,0.044
ENSG00000253483,0.044
COL18A1,0.044
RPSAP20,0.044
DPY19L2P4,0.044
ENSG00000219755,0.044
ENSG00000248705,0.044
SORCS1,0.044
ENSG00000242659,0.044
ENSG00000201208,0.044
CKMT2-AS1,0.044
SCGB1B2P,0.044
RIC8A,0.044
SNRPEP10,0.044
PRMT7,0.044
ENSG00000226668,0.044
RPL39P15,0.044
RNF11P1,0.044
HBE1,0.044
PRM3,0.044
LINC02468,0.044
FAM166B,0.044
TKFC,0.044
ENSG00000269482,0.044
SUOX,0.044
MTCO1P14,0.044
H2BC10,0.044
ZNF8-DT,0.044
LINC01242,0.044
ENSG00000279417,0.044
ASS1P2,0.044
ENSG00000201627,0.044
RPSAP24,0.044
ENSG00000262202,0.044
RPSAP61,0.044
BTBD10P2,0.044
RNU6-17P,0.044
SLC25A6P4,0.044
